antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
frozenset({'target_not_applicable'}),"frozenset({'level_haut', 'reason_treatment', 'uth_non'})",0.10952689565780946,0.12313674659753726,0.10628645495787427,0.9704142011834319,7.880784802242292,1.0,0.09279966936164369,29.637977965003202,0.9805002307665,0.8410256410256411,0.9662595065972176,0.9167860479601371,target_not_applicable,"level_haut, reason_treatment, uth_non"
"frozenset({'level_haut', 'reason_treatment', 'uth_non'})",frozenset({'target_not_applicable'}),0.12313674659753726,0.10952689565780946,0.10628645495787427,0.8631578947368421,7.880784802242292,1.0,0.09279966936164369,6.507303454808317,0.9957186378959134,0.8410256410256411,0.8463265149773999,0.9167860479601371,"level_haut, reason_treatment, uth_non",target_not_applicable
"frozenset({'level_haut', 'uth_non'})",frozenset({'target_not_applicable'}),0.1322099805573558,0.10952689565780946,0.10887880751782242,0.8235294117647058,7.51896971806474,1.0,0.0943982587723959,5.0460142579390785,0.9990931398698388,0.8195121951219512,0.8018237862830722,0.9088061260006961,"level_haut, uth_non",target_not_applicable
frozenset({'target_not_applicable'}),"frozenset({'level_haut', 'uth_non'})",0.10952689565780946,0.1322099805573558,0.10887880751782242,0.9940828402366864,7.51896971806474,1.0,0.0943982587723959,146.6565132858061,0.9736431690580163,0.8195121951219512,0.9931813461427984,0.9088061260006961,target_not_applicable,"level_haut, uth_non"
"frozenset({'level_haut', 'uth_non'})","frozenset({'reason_treatment', 'target_not_applicable'})",0.1322099805573558,0.10693454309786131,0.10628645495787427,0.8039215686274509,7.517884729649435,1.0,0.0921486410939963,4.554633830200905,0.9990710213300789,0.7999999999999999,0.780443381997211,0.8989304812834225,"level_haut, uth_non","reason_treatment, target_not_applicable"
"frozenset({'reason_treatment', 'target_not_applicable'})","frozenset({'level_haut', 'uth_non'})",0.10693454309786131,0.1322099805573558,0.10628645495787427,0.9939393939393939,7.517884729649435,1.0,0.0921486410939963,143.18535320803537,0.9707954263867747,0.7999999999999999,0.9930160454432299,0.8989304812834225,"reason_treatment, target_not_applicable","level_haut, uth_non"
frozenset({'target_not_applicable'}),"frozenset({'reason_treatment', 'uth_non'})",0.10952689565780946,0.23979261179520414,0.10693454309786131,0.9763313609467456,4.0715656484887255,1.0,0.08067080272625438,32.11876215165261,0.8471836266596093,0.44117647058823534,0.968865549821678,0.7111386534463457,target_not_applicable,"reason_treatment, uth_non"
"frozenset({'level_haut', 'target_not_applicable'})","frozenset({'reason_treatment', 'uth_non'})",0.10887880751782242,0.23979261179520414,0.10628645495787427,0.9761904761904763,4.070978120978121,1.0,0.08017812133402832,31.928710304601537,0.8465277161862528,0.43850267379679136,0.9686802257134739,0.7097168597168597,"level_haut, target_not_applicable","reason_treatment, uth_non"
frozenset({'target_not_applicable'}),frozenset({'uth_non'}),0.10952689565780946,0.29228775113415423,0.10952689565780946,1.0,3.4212860310421287,1.0,0.07751352563728317,inf,0.7947598253275109,0.37472283813747237,1.0,0.6873614190687362,target_not_applicable,uth_non
"frozenset({'reason_treatment', 'target_not_applicable'})",frozenset({'uth_non'}),0.10693454309786131,0.29228775113415423,0.10693454309786131,1.0,3.4212860310421287,1.0,0.07567888597722913,inf,0.7924528301886792,0.3658536585365854,1.0,0.6829268292682927,"reason_treatment, target_not_applicable",uth_non
"frozenset({'level_haut', 'target_not_applicable'})",frozenset({'uth_non'}),0.10887880751782242,0.29228775113415423,0.10887880751782242,1.0,3.4212860310421287,1.0,0.07705486572226966,inf,0.7941818181818182,0.37250554323725055,1.0,0.6862527716186253,"level_haut, target_not_applicable",uth_non
