feature,importance,std
facility ref level,0.3501440756088784,0.2710924031663633
refdiag1,0.2127769136233941,0.19915631655745383
UTH referral?,0.12242350754252272,0.15407586173394344
entdiag1,0.11345238040067677,0.02779009274779569
UTH department,0.059692187331185545,0.09987478034442906
age,0.03913394601652063,0.0141340287309516
reason for referral,0.03441006829361661,0.01969905179588986
specialtyentdx1,0.03185151308616847,0.014382239836940086
attendance,0.019283721273148226,0.017993560605163033
age_group,0.016831686823888404,0.007592520235690991
