feature,rf_importance,chi2_score,mutual_info,ranking,rfe_score,score_moyen
facility ref level,1.0,1.0,0.9540761858850186,1,1.0,0.9885190464712547
refdiag1,0.7231533822164588,0.23536415943932912,1.0,1,1.0,0.739629385413947
entdiag1,0.5893059462038835,0.12558593222759104,0.5004425319293,1,1.0,0.5538336025901937
age,0.33268717018300487,0.10386747872653616,0.23447879751180292,1,1.0,0.41775836160533597
UTH department,0.22130977606022872,0.05907181948002271,0.5187173137435246,2,0.5,0.32477472732094403
specialtyentdx1,0.15068949095522668,0.009739760290268538,0.04930139754928075,1,1.0,0.302432662198694
UTH referral?,0.32399655598555044,0.1362162670278704,0.511755773982136,5,0.2,0.2929921492488892
reason for referral,0.13657869132283243,0.014946603683389705,0.10782418337698925,3,0.3333333333333333,0.14817070292913617
age_group,0.11139118402668424,0.004440915845444016,0.01530175460775263,4,0.25,0.09528346361997023
attendance,0.08854115800370828,0.03485049496323187,0.0817061792616294,6,0.16666666666666666,0.09294112472380905
